N,p,f,pop_type,n_sel,n_exp,n_frac,e_max,e_mean,p_hat,p_true,bias
100,2,0.7,mixed,67,70,2,1.7600769791010662,0.8849895402493367,0.5428571428571429,0.6,-0.05714285714285705
100,2,0.7,mixed,70,70,2,0.06518587257650803,0.03900819567938127,0.6142857142857143,0.6,0.014285714285714346
100,2,0.7,mixed,73,70,2,0.3465962277374826,0.17584208555124742,0.6,0.6,0.0
100,5,0.3,mixed,29,30,5,1.3979945898894688,0.4065568491256387,0.5333333333333334,0.6,-0.06666666666666654
100,5,0.3,mixed,27,30,5,0.12335764028182793,0.04437751451527394,0.6000000000000001,0.6,1.1102230246251565e-16
100,5,0.3,mixed,32,30,5,1.596567318675129,0.396394561135612,0.7,0.6,0.09999999999999998
100,5,0.3,mixed,29,30,5,22.165362112841088,4.525464378187335,0.6000000000000001,0.6,1.1102230246251565e-16
100,5,0.3,mixed,32,30,5,2.090366123296255,0.47306760272077175,0.5666666666666668,0.6,-0.033333333333333215
100,5,0.3,mixed,30,30,5,2.266717666938487,0.624110340659698,0.6000000000000001,0.6,1.1102230246251565e-16
100,5,0.3,mixed,32,30,5,0.7258059204529824,0.24233377434973713,0.6666666666666667,0.6,0.06666666666666676
100,5,0.3,mixed,30,30,5,2.3369208044336243,0.6381480906076974,0.6333333333333335,0.6,0.03333333333333355
100,5,0.3,mixed,31,30,5,0.6723783112498606,0.2251428977659497,0.6000000000000001,0.6,1.1102230246251565e-16
100,5,0.3,mixed,31,30,5,1.1862844907517907,0.32829996789804683,0.4666666666666668,0.6,-0.1333333333333332
100,5,0.7,mixed,69,70,5,0.27989076652652684,0.06626099034600488,0.5714285714285715,0.6,-0.02857142857142847
100,5,0.7,mixed,70,70,5,0.1309529132683434,0.03487859991639783,0.6285714285714288,0.6,0.028571428571428803
100,5,0.7,mixed,70,70,5,0.20470881795582754,0.07211965362130719,0.6285714285714286,0.6,0.02857142857142858
100,5,0.7,mixed,71,70,5,0.1743345132402025,0.07242432697274645,0.6000000000000001,0.6,1.1102230246251565e-16
100,5,0.7,mixed,69,70,5,3.083777889799652,0.6290617030241483,0.5571428571428573,0.6,-0.042857142857142705
100,5,0.7,mixed,72,70,5,0.3099893389355101,0.12477066478037377,0.6142857142857143,0.6,0.014285714285714346
100,5,0.7,mixed,70,70,5,0.3126666056832809,0.0956741317087075,0.5714285714285715,0.6,-0.02857142857142847
100,5,0.7,mixed,71,70,5,0.262314166547335,0.08735758496739458,0.6285714285714286,0.6,0.02857142857142858
100,5,0.7,mixed,70,70,5,0.24975706274866138,0.0997964316068067,0.6285714285714287,0.6,0.028571428571428692
100,5,0.7,mixed,68,70,5,6.1932342806199685,1.2440177555980347,0.5714285714285715,0.6,-0.02857142857142847
