N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,2,0.2,mixed,0.2,0.6,1.9966464420628764,1.0611892460190029,0.20000000000000007,2,12,0.9491340457774556,0.4988038917675726,-0.09999999999999998,2,13,-1.0475123962854207,-0.5623853542514303,-0.10000000000000009,15
50,2,0.2,mixed,0.2,0.6,1.6617786858169277,0.8340341553060677,0.09999999999999998,2,9,1.0554338821448306,0.5440004207062134,-0.09999999999999998,2,10,-0.6063448036720971,-0.2900337345998544,0.0,16
50,2,0.2,mixed,0.2,0.6,0.46043106345683177,0.2505251266366178,-0.09999999999999998,2,11,0.29332970134092573,0.17766101382784194,-0.09999999999999998,2,10,-0.16710136211590604,-0.07286411280877586,0.0,17
50,2,0.2,mixed,0.2,0.6,0.21083052667609004,0.1964463190612551,-0.19999999999999996,2,8,0.31625692073642625,0.24970879911211763,0.09999999999999998,2,12,0.10542639406033621,0.05326248005086254,-0.09999999999999998,18
50,2,0.2,mixed,0.2,0.6,0.7366280745099941,0.4944720499433177,0.20000000000000007,2,13,0.22552503120058862,0.17860453878730304,-0.09999999999999998,2,11,-0.5111030433094055,-0.3158675111560147,-0.10000000000000009,19
50,2,0.2,mixed,0.4,0.6,0.3923610137574315,0.242560425942324,-0.09999999999999998,2,6,0.4617740660003,0.35802685924604205,-0.3,2,8,0.06941305224286853,0.11546643330371806,0.2,0
50,2,0.2,mixed,0.4,0.6,0.05521960875834379,0.03934660657556038,-0.19999999999999996,2,6,0.4861485763930224,0.3063853629516239,0.30000000000000004,2,14,0.4309289676346786,0.2670387563760635,0.10000000000000009,1
50,2,0.2,mixed,0.4,0.6,0.3070941994801354,0.2177696444314505,0.0,2,12,0.23003113632494238,0.21005328795646133,-0.09999999999999998,2,8,-0.07706306315519301,-0.007716356474989167,0.09999999999999998,2
50,2,0.2,mixed,0.4,0.6,1.0127367201160618,0.551709455798159,0.0,2,11,1.359457743945959,0.7176216762377521,0.0,2,12,0.3467210238298972,0.16591222043959308,0.0,3
50,2,0.2,mixed,0.4,0.6,0.5862889033980088,0.31399336439366443,0.0,2,10,0.06997433851232662,0.05692399838263584,0.09999999999999998,2,8,-0.5163145648856822,-0.2570693660110286,0.09999999999999998,4
