N,p,f,pop_type,alpha,p_true,cube_e_max,cube_e_mean,cube_bias,cube_nfrac,cube_nsel,sph_e_max,sph_e_mean,sph_bias,sph_nfrac,sph_nsel,delta_e_max,delta_e_mean,delta_bias,rep
50,2,0.7,mixed,0.0,0.6,0.4791676636727901,0.2504895718844343,0.02857142857142847,2,39,0.3383476380244911,0.19743241510938217,0.0,2,33,-0.14082002564829904,-0.053057156775052156,-0.02857142857142847,7
50,2,0.7,mixed,0.0,0.6,0.025686723608869037,0.013312931355163943,0.0,2,35,0.15767179468193387,0.09452835734408664,0.05714285714285727,2,40,0.13198507107306484,0.0812154259889227,0.05714285714285727,8
50,2,0.7,mixed,0.0,0.6,0.027347591682024386,0.019986223176070805,0.02857142857142858,2,36,0.08024816975923127,0.061359246930880504,0.08571428571428574,2,39,0.05290057807720688,0.041373023754809696,0.05714285714285716,9
50,2,0.7,mixed,0.2,0.6,0.04686622911174224,0.03411386624896027,-0.028571428571428692,2,35,0.1067585324356479,0.06010885846773144,-0.028571428571428692,2,36,0.05989230332390565,0.02599499221877117,0.0,0
50,2,0.7,mixed,0.2,0.6,0.015742973906614426,0.011439226863169517,-0.02857142857142858,2,34,0.027522994930327928,0.014014173287008061,0.11428571428571432,2,40,0.011780021023713502,0.002574946423838544,0.08571428571428574,1
50,2,0.7,mixed,0.2,0.6,0.4129574037695889,0.22289687870238417,-0.028571428571428692,2,37,0.6400474791838042,0.3460728162103216,0.11428571428571421,2,39,0.22709007541421533,0.12317593750793743,0.08571428571428552,2
50,2,0.7,mixed,0.2,0.6,0.7957390641133724,0.4003865376824726,-0.028571428571428692,2,36,0.06328989305239065,0.04886528342037879,0.0,2,32,-0.7324491710609817,-0.35152125426209385,-0.028571428571428692,3
50,2,0.7,mixed,0.2,0.6,0.07618179943187403,0.03999061219390555,-0.02857142857142858,2,36,0.1873569786574262,0.09763566169253089,0.02857142857142847,2,35,0.11117517922555217,0.05764504949862534,-1.1102230246251565e-16,4
50,2,0.7,mixed,0.2,0.6,0.21705531798906413,0.11514841306688091,0.0,2,35,0.026433511472106815,0.019730538500556963,0.05714285714285705,2,34,-0.19062180651695732,-0.09541787456632395,0.05714285714285705,5
50,2,0.7,mixed,0.2,0.6,0.07554203677130994,0.060257878421815736,0.02857142857142847,2,30,0.04391797063074934,0.030519009342857277,-0.05714285714285716,2,32,-0.0316240661405606,-0.02973886907895846,0.028571428571428692,6
50,2,0.7,mixed,0.2,0.6,0.03574039151614928,0.02082605157624321,0.0,2,31,0.05812634442002279,0.04142990176870051,0.05714285714285705,2,36,0.02238595290387351,0.0206038501924573,0.05714285714285705,7
50,2,0.7,mixed,0.2,0.6,0.24452840442557197,0.12325966289742403,-1.1102230246251565e-16,2,38,0.059778936973608844,0.03608519233695427,-0.05714285714285716,2,35,-0.18474946745196313,-0.08717447056046976,0.05714285714285705,8
50,2,0.7,mixed,0.2,0.6,0.10392642660812428,0.06016996747650539,0.08571428571428574,2,37,1.0276285217670362,0.5392237622294144,-0.08571428571428574,2,34,0.923702095158912,0.479053794752909,0.0,9
50,5,0.3,mixed,0.0,0.6,0.33714498142944693,0.13399876470088173,0.0,5,15,0.3026361736018736,0.09705673167054658,0.0,5,14,-0.03450880782757332,-0.03694203303033515,0.0,0
50,5,0.3,mixed,0.0,0.6,66.00845268054658,13.366531105396444,-0.06666666666666665,5,13,72.69291730583099,14.577290098344525,-0.06666666666666665,5,14,6.684464625284406,1.2107589929480813,0.0,1
50,5,0.3,mixed,0.0,0.6,5.135605262864718,1.3139474899482004,-0.06666666666666665,5,15,2.835846199117035,0.977581620952385,-0.06666666666666665,5,14,-2.2997590637476835,-0.33636586899581544,0.0,2
50,5,0.3,mixed,0.0,0.6,3.538175796240194,1.0490058865418672,-0.06666666666666665,5,16,2.171796714754291,0.7288594786500153,-0.06666666666666665,5,15,-1.3663790814859031,-0.3201464078918519,0.0,3
50,5,0.3,mixed,0.0,0.6,1.7492779160741283,0.6013945245921121,-0.06666666666666665,5,15,1.9826509872846518,0.5146120886387537,-0.13333333333333336,5,13,0.23337307121052353,-0.08678243595335833,0.06666666666666671,4
50,5,0.3,mixed,0.0,0.6,1.1680073971387537,0.31386332358107694,-0.13333333333333336,5,15,5.925765990337093,1.2933354955082874,-0.06666666666666665,5,14,4.757758593198339,0.9794721719272105,-0.06666666666666671,5
50,5,0.3,mixed,0.0,0.6,0.46912597027454456,0.17096618015885823,-0.13333333333333336,5,14,0.4263662797576658,0.18856368917597113,0.0,5,13,-0.04275969051687878,0.017597509017112906,-0.13333333333333336,6
50,5,0.3,mixed,0.0,0.6,1.0253100590296513,0.2933849266356084,-0.13333333333333336,5,13,0.44252535717070457,0.2354960222260829,-0.19999999999999996,5,13,-0.5827847018589467,-0.05788890440952549,0.0666666666666666,7
50,5,0.3,mixed,0.0,0.6,1.0960339175294673,0.2965537566040409,-0.13333333333333336,5,16,0.24799070271124968,0.10338236821455124,0.13333333333333341,5,16,-0.8480432148182176,-0.19317138838948963,5.551115123125783e-17,8
50,5,0.3,mixed,0.0,0.6,33.830324268401114,7.471507948628246,0.06666666666666654,5,15,14.77970184777726,3.713927446639816,0.2666666666666667,5,18,-19.050622420623853,-3.75758050198843,0.20000000000000018,9
50,5,0.3,mixed,0.2,0.6,0.5298813749984945,0.2773608755355709,0.06666666666666676,5,14,0.5537613712102423,0.2910635965378975,0.13333333333333341,5,16,0.023879996211747745,0.013702721002326557,0.06666666666666665,0
50,5,0.3,mixed,0.2,0.6,0.44403167411431,0.17946742795141332,0.0,5,16,0.42635116304035264,0.1548161639856434,0.13333333333333341,5,17,-0.01768051107395735,-0.024651263965769915,0.13333333333333341,1
50,5,0.3,mixed,0.2,0.6,0.8157097514262378,0.2772948401522738,-0.06666666666666665,5,14,0.6330458563940359,0.1735588582040372,-0.06666666666666665,5,13,-0.18266389503220193,-0.1037359819482366,0.0,2
50,5,0.3,mixed,0.2,0.6,0.6011184030632816,0.2206818673464041,0.0,5,12,0.20425699298022557,0.11561348723299787,0.0,5,14,-0.396861410083056,-0.10506838011340623,0.0,3
50,5,0.3,mixed,0.2,0.6,1.797718964304227,0.400349652396321,0.0,5,14,0.8118143925769263,0.2996852040192978,0.06666666666666676,5,15,-0.9859045717273007,-0.10066444837702315,0.06666666666666676,4
50,5,0.3,mixed,0.2,0.6,0.9207842721034392,0.24419979194459676,0.06666666666666676,5,17,1.370741652253374,0.4181753578776394,-0.06666666666666665,5,16,0.4499573801499348,0.17397556593304261,-1.1102230246251565e-16,5
50,5,0.3,mixed,0.2,0.6,0.7126765697034758,0.24548296291265226,0.13333333333333341,5,16,0.645292608010392,0.203148574690689,-0.13333333333333336,5,14,-0.0673839616930838,-0.042334388221963254,-5.551115123125783e-17,6
